Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,37.66,37.80,37.46,37.56,1260500,37.56
2014-03-03,37.03,37.96,36.92,37.76,1244100,37.76
2014-02-24,35.70,37.56,35.48,37.43,1412200,37.43
2014-02-18,36.27,36.56,35.57,35.70,948700,35.70
2014-02-10,34.69,36.37,34.69,36.23,1330000,36.23
2014-02-03,36.07,36.22,33.59,34.84,1548900,34.84
2014-01-27,35.73,37.10,35.12,36.07,2749500,34.79
2014-01-21,37.57,37.68,35.72,35.77,1138400,34.50
2014-01-13,35.45,37.99,34.91,37.32,1786200,35.99
2014-01-06,36.12,36.71,35.29,35.61,1614100,34.34
2013-12-30,36.64,37.04,36.06,36.11,702300,34.82
2013-12-23,36.06,36.79,35.93,36.67,492300,35.36
2013-12-16,35.17,36.72,35.17,35.85,1263900,34.57
2013-12-09,35.74,35.94,34.65,35.16,739800,33.91
2013-12-02,35.09,35.90,34.79,35.71,936000,34.44
2013-11-25,35.19,35.50,34.77,35.11,726400,33.86
2013-11-18,34.86,35.22,34.00,35.19,861100,33.94
2013-11-11,34.03,34.84,33.65,34.78,1369300,33.30
2013-11-04,35.16,35.35,33.38,33.99,1649500,32.54
2013-10-28,39.10,39.25,34.70,35.13,1901400,33.63
2013-10-21,38.68,39.33,38.11,39.31,425800,37.64
2013-10-14,37.45,38.79,37.42,38.68,636400,37.03
2013-10-07,37.26,37.87,36.58,37.76,662600,36.15
2013-09-30,38.25,38.62,37.36,37.52,721100,35.92
2013-09-23,38.13,39.05,37.99,38.69,765600,37.04
2013-09-16,39.01,39.38,37.62,38.31,1081000,36.68
2013-09-09,37.03,38.57,37.01,38.56,659800,36.92
2013-09-03,36.29,37.38,36.00,36.98,612400,35.40
2013-08-26,36.31,36.93,35.67,35.85,723600,34.32
2013-08-19,36.28,36.47,35.95,36.33,379200,34.78
2013-08-12,36.77,37.35,35.62,36.37,515900,34.82
2013-08-05,37.47,37.48,36.78,36.90,479500,35.33
2013-07-29,36.26,37.73,35.82,37.61,786400,36.01
2013-07-22,36.57,36.88,35.85,36.35,612100,34.56
2013-07-15,35.87,36.71,35.58,36.64,632800,34.84
2013-07-08,34.64,36.04,34.48,36.04,717900,34.27
2013-07-01,34.36,34.86,33.95,34.48,674500,32.78
2013-06-24,34.26,34.67,33.51,34.11,1134300,32.43
2013-06-17,35.56,35.88,34.02,34.65,1302900,32.94
2013-06-10,35.75,35.90,34.96,35.72,629000,33.96
2013-06-03,35.09,35.69,34.55,35.67,991000,33.91
2013-05-28,35.65,36.00,34.96,35.00,1285900,33.28
2013-05-20,35.57,35.77,34.18,35.00,1358600,33.28
2013-05-13,35.23,36.47,35.16,35.77,1557900,34.01
2013-05-06,34.50,35.27,34.36,35.24,1268700,33.51
2013-04-29,34.38,35.46,33.47,34.50,1506000,32.80
2013-04-22,34.59,35.37,34.10,34.19,967700,32.27
2013-04-15,35.62,35.62,33.83,34.40,1095700,32.47
2013-04-10,36.06,36.74,35.10,35.77,1641400,33.76
