Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,63.15,63.38,62.61,63.33,2193700,63.33
2014-03-03,62.77,64.20,62.61,63.30,3167600,63.30
2014-02-24,62.34,63.75,61.51,63.28,3763500,63.28
2014-02-18,59.97,61.88,59.77,61.02,4041300,61.02
2014-02-10,59.41,61.73,58.90,59.68,5746100,59.68
2014-02-03,56.75,59.70,55.89,59.51,5974000,59.51
2014-01-27,56.39,57.34,55.08,56.64,5762900,56.64
2014-01-21,55.14,57.05,55.00,56.43,6794300,56.28
2014-01-13,53.47,54.20,52.07,54.14,5322000,53.99
2014-01-06,53.95,53.96,50.80,53.06,4920000,52.92
2013-12-30,54.86,55.42,53.43,53.59,2784700,53.45
2013-12-23,54.12,54.96,53.51,54.77,2077300,54.62
2013-12-16,52.89,54.14,52.43,53.81,3695900,53.67
2013-12-09,53.69,54.08,52.25,52.71,4059800,52.57
2013-12-02,57.11,57.17,53.45,53.83,5382200,53.69
2013-11-25,57.85,57.85,56.27,56.96,3193100,56.81
2013-11-18,58.40,58.57,56.79,57.91,3239900,57.75
2013-11-11,57.96,58.73,56.67,58.27,3866200,58.11
2013-11-04,58.45,58.66,55.72,57.92,4910400,57.76
2013-10-28,58.02,58.83,57.26,58.29,3727900,58.13
2013-10-21,55.47,58.67,55.12,58.23,5847300,57.92
2013-10-14,49.87,57.35,49.43,55.55,7026000,55.26
2013-10-07,48.96,50.54,48.37,50.23,2446000,49.97
2013-09-30,48.97,49.95,48.40,49.45,3112800,49.19
2013-09-23,49.61,50.03,48.88,49.53,2377600,49.27
2013-09-16,50.18,50.88,49.43,49.84,3219800,49.58
2013-09-09,49.11,50.72,49.03,49.70,4509400,49.44
2013-09-03,47.04,49.48,46.57,48.99,3537900,48.73
2013-08-26,47.53,47.77,46.25,46.49,2667700,46.25
2013-08-19,46.72,47.69,46.09,47.51,2501000,47.26
2013-08-12,47.11,47.90,46.69,46.86,2689800,46.61
2013-08-05,48.40,48.40,47.00,47.44,2355600,47.19
2013-07-29,47.77,48.57,46.98,48.42,2628300,48.17
2013-07-22,47.70,48.48,47.05,47.98,3476100,47.58
2013-07-15,49.18,49.50,46.85,47.80,4770800,47.40
2013-07-08,48.37,49.54,48.24,49.16,3246500,48.75
2013-07-01,46.38,48.27,46.30,48.09,2348100,47.69
2013-06-24,44.34,46.61,43.34,46.13,3323200,45.74
2013-06-17,46.38,47.06,44.21,44.87,3202400,44.49
2013-06-10,46.89,47.06,45.18,46.03,3473000,45.64
2013-06-03,45.63,46.63,45.04,46.49,3218000,46.10
2013-05-28,47.87,48.13,45.48,45.48,3404700,45.10
2013-05-20,47.35,48.63,46.16,47.17,3398400,46.77
2013-05-13,46.67,47.70,45.48,47.53,2376100,47.13
2013-05-06,46.56,47.41,46.12,46.84,2347700,46.45
2013-04-29,44.44,46.82,43.98,46.58,2880500,46.19
2013-04-22,43.68,45.13,42.60,44.13,4732000,43.61
2013-04-15,45.41,45.85,42.81,43.58,5469400,43.07
2013-04-10,45.58,47.00,45.28,46.00,3490000,45.46
