Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,110.71,110.97,110.11,110.88,989400,110.88
2014-03-03,114.20,115.00,109.84,110.92,1551400,110.92
2014-02-24,102.86,114.76,102.71,112.46,3101500,112.46
2014-02-18,100.73,104.11,100.35,102.82,2314600,102.82
2014-02-10,95.78,101.61,94.71,100.23,1746300,100.23
2014-02-03,97.19,97.58,91.00,95.97,2628200,95.97
2014-01-27,96.12,98.92,94.20,97.30,1510300,97.30
2014-01-21,96.69,97.84,94.91,96.00,1556800,96.00
2014-01-13,96.94,97.75,95.13,96.57,1407600,96.57
2014-01-06,102.30,102.38,95.01,96.96,2616000,96.96
2013-12-30,103.15,103.88,101.58,101.76,1009400,101.76
2013-12-23,102.39,103.98,102.02,103.05,487300,103.05
2013-12-16,99.90,102.59,98.62,101.89,1116400,101.62
2013-12-09,103.78,104.95,99.62,99.91,1207600,99.65
2013-12-02,104.01,105.80,101.82,104.00,1207700,103.73
2013-11-25,101.52,104.69,101.35,103.99,988200,103.72
2013-11-18,98.26,101.60,97.65,101.25,1704600,100.99
2013-11-11,95.37,98.28,95.13,98.27,1048400,98.01
2013-11-04,93.35,97.36,91.34,95.19,1783500,94.94
2013-10-28,91.50,93.11,90.70,93.01,1187300,92.77
2013-10-21,91.04,93.67,90.19,91.54,1117000,91.30
2013-10-14,95.22,96.65,90.83,91.23,1954200,90.99
2013-10-07,96.17,96.40,92.93,95.65,823300,95.40
2013-09-30,93.54,96.85,91.48,96.54,935300,96.29
2013-09-23,95.42,97.00,93.00,93.88,1200100,93.64
2013-09-16,99.08,99.85,93.83,95.53,1371500,95.01
2013-09-09,95.57,98.64,95.19,98.24,897800,97.70
2013-09-03,92.81,96.75,92.81,95.64,800600,95.12
2013-08-26,94.57,94.67,91.85,92.08,747400,91.58
2013-08-19,91.28,94.58,91.04,94.33,776700,93.82
2013-08-12,92.81,93.92,90.90,91.53,921500,91.03
2013-08-05,89.92,94.14,89.89,93.39,1147200,92.88
2013-07-29,90.10,92.74,88.76,89.89,1385200,89.40
2013-07-22,89.34,91.61,88.09,89.74,1014700,89.25
2013-07-15,85.53,89.49,83.73,89.08,1430900,88.59
2013-07-08,84.29,87.25,83.89,85.53,970600,85.06
2013-07-01,84.85,86.30,82.14,83.68,932500,83.22
2013-06-24,84.44,85.90,83.91,84.38,1447100,83.92
2013-06-17,81.26,85.36,81.15,84.91,1612500,84.18
2013-06-10,81.06,82.29,80.15,80.93,755000,80.23
2013-06-03,81.17,81.25,78.55,81.02,1028900,80.32
2013-05-28,79.39,83.40,79.34,80.78,1405200,80.08
2013-05-20,80.34,80.55,77.98,78.93,1063200,78.25
2013-05-13,79.82,81.39,78.54,80.45,1631900,79.76
2013-05-06,75.90,80.27,74.81,80.09,2790400,79.40
2013-04-29,73.56,79.88,72.13,73.93,2747300,73.29
2013-04-22,72.99,74.00,71.95,73.49,1801300,72.86
2013-04-15,77.24,78.42,70.58,73.05,2779000,72.42
2013-04-10,78.49,79.35,77.25,77.56,2044200,76.89
