Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,26.97,27.27,26.81,27.15,5516300,27.15
2014-03-03,26.13,27.31,25.78,27.00,9574900,27.00
2014-02-24,26.25,26.73,26.08,26.51,6479200,26.51
2014-02-18,25.45,26.45,25.43,26.25,7422400,26.25
2014-02-10,24.54,25.82,24.47,25.45,5771900,25.45
2014-02-03,24.77,24.99,23.56,24.60,9793400,24.60
2014-01-27,25.32,25.51,24.51,24.82,7627400,24.76
2014-01-21,26.92,27.11,25.24,25.27,8411300,25.21
2014-01-13,25.59,26.90,24.77,26.77,9052800,26.70
2014-01-06,26.00,26.14,25.36,25.66,5450400,25.60
2013-12-30,25.66,26.08,25.49,25.90,3654600,25.84
2013-12-23,25.75,25.87,25.55,25.66,2113900,25.60
2013-12-16,24.92,25.90,24.65,25.61,7454400,25.55
2013-12-09,24.86,25.27,24.67,24.79,7710100,24.73
2013-12-02,24.50,25.14,24.19,24.83,4575900,24.77
2013-11-25,25.00,25.00,24.46,24.48,4228200,24.42
2013-11-18,24.49,25.01,24.21,24.92,8176200,24.86
2013-11-11,24.02,24.50,23.39,24.42,7139800,24.36
2013-11-04,23.15,24.03,22.73,24.02,8465600,23.96
2013-10-28,23.55,23.61,22.54,23.12,11362700,23.00
2013-10-21,23.74,23.87,23.03,23.56,7366400,23.44
2013-10-14,21.59,23.93,21.39,23.77,14854500,23.65
2013-10-07,21.30,21.82,20.44,21.78,7801500,21.67
2013-09-30,20.96,21.63,20.79,21.58,6901200,21.47
2013-09-23,21.09,21.53,20.54,21.19,9082900,21.08
2013-09-16,22.35,22.71,20.62,21.27,16657400,21.16
2013-09-09,21.64,22.45,21.64,22.03,6063000,21.92
2013-09-03,21.20,22.25,20.97,21.58,8001100,21.47
2013-08-26,21.55,22.05,20.52,20.88,6438000,20.77
2013-08-19,21.54,21.78,21.22,21.53,5691600,21.42
2013-08-12,22.16,22.43,21.25,21.56,7198300,21.45
2013-08-05,22.60,22.84,21.98,22.29,5750200,22.18
2013-07-29,22.12,22.79,21.98,22.65,9449800,22.48
2013-07-22,21.70,22.59,21.68,22.12,8221900,21.95
2013-07-15,21.64,21.91,20.55,21.68,10308800,21.51
2013-07-08,22.19,22.44,21.22,21.69,10784500,21.52
2013-07-01,21.33,22.10,21.08,22.01,8741100,21.84
2013-06-24,20.69,21.44,20.34,21.23,14790800,21.07
2013-06-17,19.88,20.95,19.87,20.64,13030900,20.48
2013-06-10,20.20,20.35,19.52,19.71,10077600,19.56
2013-06-03,19.98,20.13,18.94,20.12,10906300,19.96
2013-05-28,19.47,20.48,19.46,19.86,12225500,19.71
2013-05-20,19.20,19.57,18.69,19.16,7996700,19.01
2013-05-13,18.05,19.37,17.92,19.34,13176100,19.19
2013-05-06,17.44,18.30,17.13,18.09,8941400,17.95
2013-04-29,16.76,17.55,16.05,17.47,10059600,17.28
2013-04-22,16.42,17.10,16.22,16.73,8247600,16.54
2013-04-15,17.12,17.30,16.20,16.39,8859300,16.21
2013-04-10,17.05,17.69,17.04,17.28,8516700,17.09
