Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,45.85,45.88,45.20,45.50,447500,45.50
2014-03-03,44.83,46.72,44.45,45.84,1133800,45.84
2014-02-24,43.86,45.51,43.81,45.32,1217500,45.32
2014-02-18,44.07,44.16,42.68,43.72,1481400,43.72
2014-02-10,43.80,44.42,43.36,43.98,817700,43.98
2014-02-03,43.85,44.03,41.89,43.78,1524900,43.78
2014-01-27,41.53,45.86,40.63,43.60,1777800,43.60
2014-01-21,43.36,43.40,41.15,41.18,581700,41.18
2014-01-13,43.21,43.54,42.20,43.01,628900,43.01
2014-01-06,41.80,43.48,41.58,43.18,971400,43.11
2013-12-30,41.14,41.60,40.86,41.21,583900,41.14
2013-12-23,40.92,41.41,40.43,41.18,488700,41.11
2013-12-16,39.19,40.90,38.97,40.64,710600,40.57
2013-12-09,38.14,40.61,38.12,38.97,1119900,38.91
2013-12-02,37.99,38.37,37.23,38.14,702600,38.08
2013-11-25,38.02,38.23,37.73,38.04,372400,37.98
2013-11-18,38.44,38.48,37.60,38.00,386900,37.94
2013-11-11,37.12,38.33,36.73,38.30,623800,38.24
2013-11-04,38.08,38.12,36.28,37.10,763200,37.04
2013-10-28,38.55,39.09,37.55,37.96,830000,37.90
2013-10-21,37.76,38.66,37.42,38.59,492700,38.53
2013-10-14,37.01,38.07,36.38,37.77,894400,37.71
2013-10-07,37.42,37.46,36.26,37.26,714900,37.13
2013-09-30,37.85,38.34,37.24,37.78,548500,37.65
2013-09-23,38.13,38.51,37.48,38.11,537100,37.97
2013-09-16,38.06,39.05,37.87,38.24,840700,38.10
2013-09-09,37.04,37.98,37.00,37.69,823200,37.56
2013-09-03,36.42,37.15,35.97,36.98,563400,36.85
2013-08-26,36.76,36.94,35.71,35.97,719200,35.84
2013-08-19,36.47,36.79,36.04,36.77,746000,36.64
2013-08-12,36.84,37.70,36.38,36.47,1409400,36.34
2013-08-05,36.26,37.00,35.92,36.92,1002300,36.79
2013-07-29,33.93,37.67,33.93,36.41,1366600,36.28
2013-07-22,34.10,34.26,33.60,34.12,572400,34.00
2013-07-15,33.75,34.14,33.26,34.08,862900,33.96
2013-07-08,33.04,34.24,32.97,33.81,629800,33.62
2013-07-01,32.70,33.15,32.22,32.82,600900,32.63
2013-06-24,33.23,33.28,32.47,32.50,1672800,32.32
2013-06-17,33.25,34.50,32.64,33.49,1198500,33.30
2013-06-10,32.71,33.68,32.08,33.04,1140500,32.85
2013-06-03,31.46,32.79,31.34,32.68,1519300,32.50
2013-05-28,32.07,32.56,31.32,31.32,1089800,31.14
2013-05-20,32.17,32.89,31.34,31.73,1072800,31.55
2013-05-13,32.57,32.74,31.82,32.19,1116100,32.01
2013-05-06,30.80,32.74,30.79,32.69,1380200,32.51
2013-04-29,30.36,31.38,30.09,30.92,1961900,30.75
2013-04-22,33.21,34.75,29.50,30.35,2564000,30.18
2013-04-15,35.00,35.29,33.06,33.09,1242900,32.90
2013-04-10,34.27,35.08,34.16,34.91,657800,34.64
