Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,50.28,50.50,49.98,49.99,5132100,49.99
2014-03-03,48.60,50.78,48.60,50.42,5506400,50.42
2014-02-24,47.21,51.28,47.21,50.03,10668500,50.03
2014-02-18,47.50,47.68,46.51,47.06,6578600,47.06
2014-02-10,46.11,47.39,45.91,47.28,5912900,47.28
2014-02-03,46.26,46.64,44.45,46.07,8063500,46.07
2014-01-27,47.78,48.32,45.62,46.29,8775300,46.29
2014-01-21,47.59,48.30,47.18,47.83,7842900,47.83
2014-01-13,49.40,49.91,47.56,47.61,5607500,47.61
2014-01-06,48.97,49.78,48.00,49.68,5203700,49.49
2013-12-30,48.98,49.86,48.83,48.95,4093900,48.77
2013-12-23,47.96,49.45,47.96,48.83,3487500,48.65
2013-12-16,47.47,48.92,46.44,47.97,7185500,47.79
2013-12-09,47.89,48.18,46.82,47.11,5084600,46.93
2013-12-02,47.58,48.48,45.75,47.98,7955900,47.80
2013-11-25,48.05,48.32,47.45,47.48,5319800,47.30
2013-11-18,51.74,51.85,47.16,47.90,12985900,47.72
2013-11-11,48.82,52.08,48.72,51.77,8594300,51.58
2013-11-04,49.49,50.50,48.48,48.72,5695200,48.54
2013-10-28,50.49,50.74,49.15,49.18,7784900,49.00
2013-10-21,47.59,50.63,47.40,50.59,7634100,50.40
2013-10-14,48.45,49.12,47.58,47.66,8234700,47.30
2013-10-07,47.54,48.81,46.10,48.80,6610100,48.43
2013-09-30,47.31,48.80,47.20,48.14,6276500,47.78
2013-09-23,47.66,48.43,47.02,47.77,5752200,47.41
2013-09-16,47.30,49.17,46.42,47.84,8429800,47.48
2013-09-09,45.82,47.58,45.80,46.86,5913700,46.51
2013-09-03,46.25,46.49,45.17,45.60,5656500,45.26
2013-08-26,47.01,47.44,45.65,45.82,6127100,45.48
2013-08-19,44.07,47.51,43.52,46.98,12985400,46.63
2013-08-12,45.59,46.25,43.76,43.96,7399000,43.63
2013-08-05,44.81,46.25,44.17,45.68,7362700,45.34
2013-07-29,43.95,45.27,43.38,44.99,6504000,44.65
2013-07-22,44.15,45.30,43.61,43.97,6250800,43.64
2013-07-15,44.00,44.55,43.50,44.27,5525400,43.76
2013-07-08,42.88,44.20,42.87,43.83,5637900,43.32
2013-07-01,41.19,42.89,40.95,42.78,6579700,42.29
2013-06-24,39.05,41.38,38.87,40.90,9568200,40.43
2013-06-17,41.38,41.79,39.27,39.55,9392600,39.09
2013-06-10,41.58,41.84,40.52,41.16,6311400,40.69
2013-06-03,42.12,42.46,39.56,41.60,9652000,41.12
2013-05-28,43.12,43.49,42.11,42.11,7083600,41.62
2013-05-20,42.26,43.84,42.06,42.64,10680900,42.15
2013-05-13,41.88,43.55,41.88,42.67,6453100,42.18
2013-05-06,39.54,42.40,39.50,42.07,9609400,41.58
2013-04-29,37.78,39.61,37.56,39.59,7201100,39.13
2013-04-22,38.03,38.34,37.39,37.70,6920400,37.27
2013-04-15,38.60,39.18,37.09,38.12,9366400,37.52
2013-04-10,38.87,39.42,38.56,38.92,7392000,38.31
